CMODEL	OBJ_Prefix	/mods/typeOfResource	/mods/name[1]/role/roleTerm	/mods/accessCondition[@type='useAndReproduction']	/mods/relatedItem[1][@type='isPartOf']/titleInfo/title	/mods/relatedItem[2][@type='isPartOf']/titleInfo/title
islandora:sp_basic_image	132.161.10.13:/MediaDB/pdid/iowapostcards/	still image	creator	Grinnell College Libraries does not own the copyright in these images and therefore cannot give or deny permission to publish or distribute any of them.   It is the researcher's responsibility to determine and satisfy copyright or other use restrictions when publishing or distributing material from this collection. Any materials used must carry a credit line:  Historic Iowa Postcard Collection, Special Collections and Archives, Grinnell College Libraries.	Grinnell College Libraries Special Collections	Ivan Sheets Collection
