9/30/2016 13:53:31	/mods/extension/dg_importIndex	/mods/originInfo/dateCreated	/mods/originInfo/dateCaptured		/mods/titleInfo/title	/mods/identifier[@type='local' and @displayLabel='Local Identifier']	/mods/note[@displayLabel='Catalog number 2016']	/mods/note[@displayLabel='Catalog number 1990']	/mods/note[@type='source identifier' and @displayLabel='Source Identifier']	/mods/abstract	/mods/subject/topic	# empty	# unused	# ignored see column C	/mods/originInfo/dateOther	# empty	/mods/physicalDescription[@displayLabel='Physical']/extent	# empty	/mods/extension[@type='admin']/note[@type='accessioned']	/mods/extension[@type='admin']/note[@type='provenance']	/mods/note[@displayLabel='Denomination']	/mods/note[@displayLabel='Material']	/mods/note[@displayLabel='Production Place']	/mods/note[@displayLabel='Place (Findspot)']	/mods/originInfo/dateIssued	/mods/note[@displayLabel='Authority or Moneyer']	# empty	/mods/note[@type='citation']	# see column C	OBJ	CMODEL
# The data here is representative of the 'Ancient Coins' collection held in Digital Grinnell.   The above data has been imported into 5 objects that may be found																															
# at http://dgadmin.grinnell.edu/islandora/object/test:22198 through test:22202.																															
#																															
# Note that the CSV import process has the ability to read a special 'constants' CSV file so that values which are IDENTICAL in every object record can be entered once																															
# for import...these values do not have to be entered for every object!  A sample constants file is included in the DGConstantsTemplate tab of this sheet.																															
#																															
# Conventions for content of an import spreadsheet (actually a CSV or TSV file) can be found in https://github.com/DigitalGrinnell/icg_csv_import/blob/development/README.md.																															
#																															
# If you are appending data into an existing collection, experience suggests that the best way to determine the xpaths (row 1) for your fields is to examine, as an administrator, 																															
# the MODS datastreams of three or more representative objects in that collection (for example, go to http://dgadmin.grinnell.edu/islandora/object/test:22198/datastream/MODS/view).																															
# It is important to sample from more than one object (hence we recommend three or more representative objects) since not all objects contain ALL possible MODS fields.  																															
#																															
# When you are ready to import data it is suggested that you save your spreadsheet as a TSV (tab-separated values) file.  To do so from Google Sheets simply use																															
# the following menu selections...   File | Download as... | Tab-separated values (.tsv, current sheet).  This will export a TSV copy of the data to your computer and																															
# the instructions in https://github.com/DigitalGrinnell/icg_csv_import/blob/development/README.md can then be used to process that file (or you may want to enlist the help																															
# of your friendly, neighborhood system admin).  																															
